LogisticRegression_f1	LogisticRegression_precision	LogisticRegression_recall	decay	depth	featurizer	max_regions	model	model_prefix	sample_size	timestamp
0.538333333333	0.525	0.6	0.95	1	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:20:14 2015
0.538571428571	0.528333333333	0.6	0.8	1	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:20:27 2015
0.54	0.5625	0.575	1.0	2	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:23:58 2015
0.543333333333	0.608333333333	0.55	1.0	4	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:31:19 2015
0.545	0.533333333333	0.6	0.9	1	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:20:21 2015
0.545	0.558333333333	0.575	0.8	3	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:27:30 2015
0.553571428571	0.574166666667	0.6	0.9	4	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:31:30 2015
0.556666666667	0.55	0.6	0.8	5	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:34:55 2015
0.558333333333	0.575	0.6	1.0	3	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:27:42 2015
0.563333333333	0.558333333333	0.625	0.6	7	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:42:40 2015
0.563333333333	0.575	0.6	0.95	4	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:30:34 2015
0.564285714286	0.589166666667	0.6	0.8	6	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:38:46 2015
0.570952380952	0.61	0.6	0.8	7	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:42:38 2015
0.585	0.645833333333	0.6	0.95	6	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:38:19 2015
0.596666666667	0.616666666667	0.625	0.9	5	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:35:23 2015
0.6	0.620833333333	0.625	0.9	6	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:39:18 2015
