LogisticRegression_f1	LogisticRegression_f1_train	LogisticRegression_precision	LogisticRegression_recall	MultinomialNB_f1	MultinomialNB_f1_train	MultinomialNB_precision	MultinomialNB_recall	decay	depth	featurizer	max_regions	model	model_prefix	sample_size	timestamp
0.452480306211		0.460791731425	0.466926070039	0.450305932652		0.453519095481	0.469149527515	0.6	1	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 07:31:40 2015
0.45276540517		0.463967051954	0.466926070039	0.452553892939		0.456993068507	0.471372984992	0.4	4	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 11:44:19 2015
0.452924893994		0.462956864871	0.467481934408	0.449628220443		0.456477130611	0.468037798777	0.4	2	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 11:27:15 2015
0.453481217338	0.509247593063	0.465089961943	0.466926070039	0.445365123249	0.496472639736	0.451065062952	0.463590883824	0.4	4	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 18:44:37 2015
0.453621953501		0.463178344785	0.468593663146	0.447621059743		0.453083924851	0.467481934408	0.4	7	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 12:38:48 2015
0.453876459541		0.465046217334	0.467481934408	0.446807237947		0.452169051256	0.465814341301	0.4	5	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 11:57:33 2015
0.455142780849		0.456268328313	0.469149527515	0.439823581043		0.468250997721	0.455808782657	0.95	1	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 07:31:26 2015
0.455990141932	0.510826067249	0.466729840198	0.469705391884	0.44224968645	0.494493510023	0.447981037669	0.463590883824	0.4	7	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 19:40:59 2015
0.456904761905		0.445	0.55					0.6	0	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	20	Wed Jun 10 04:16:56 2015
0.457883835784	0.510082609777	0.469148677061	0.47248471373	0.449001514377	0.495180772646	0.451756241054	0.467481934408	0.4	3	TopKLayerHierarchicalFeatureExtractor	15	LDAModel	wiki_en	0	Wed Jun 10 18:34:32 2015
