LogisticRegression_f1	LogisticRegression_precision	LogisticRegression_recall	decay	depth	featurizer	max_regions	model	model_prefix	sample_size	timestamp
0.734957797102	0.739342405827	0.735995562951	1.0	5	TopKLayerHierarchicalFeatureExtractor	15	GloveModel	glove.6B.300d.txt	0	Mon Jun  8 06:57:37 2015
0.735287563536	0.739389082944	0.735995562951	0.9	2	TopKLayerHierarchicalFeatureExtractor	15	GloveModel	glove.6B.300d.txt	0	Mon Jun  8 03:17:07 2015
0.735384622841	0.73815333857	0.737104825291	1.0	7	TopKLayerHierarchicalFeatureExtractor	15	GloveModel	glove.6B.300d.txt	0	Mon Jun  8 10:18:56 2015
0.735515819681	0.739600757073	0.735995562951	0.9	1	TopKLayerHierarchicalFeatureExtractor	15	GloveModel	glove.6B.300d.txt	0	Mon Jun  8 02:23:49 2015
0.735546545436	0.740117236306	0.735995562951	0.2	4	TopKLayerHierarchicalFeatureExtractor	15	GloveModel	glove.6B.300d.txt	0	Mon Jun  8 05:34:20 2015
0.735953436774	0.738830746962	0.737104825291	1.0	6	TopKLayerHierarchicalFeatureExtractor	15	GloveModel	glove.6B.300d.txt	0	Mon Jun  8 08:33:47 2015
0.736281085729	0.740451518458	0.738214087632	0.95	5	TopKLayerHierarchicalFeatureExtractor	15	GloveModel	glove.6B.300d.txt	0	Mon Jun  8 06:57:27 2015
0.736375948146	0.740046850576	0.737104825291	0.4	1	TopKLayerHierarchicalFeatureExtractor	15	GloveModel	glove.6B.300d.txt	0	Mon Jun  8 02:24:42 2015
0.736667999093	0.741841768277	0.737659456461	0.8	7	TopKLayerHierarchicalFeatureExtractor	15	GloveModel	glove.6B.300d.txt	0	Mon Jun  8 09:20:53 2015
0.737008603377	0.741352757893	0.737659456461	0.8	2	TopKLayerHierarchicalFeatureExtractor	15	GloveModel	glove.6B.300d.txt	0	Mon Jun  8 03:12:07 2015
0.737041556337	0.740714414817	0.737659456461	0.6	5	TopKLayerHierarchicalFeatureExtractor	15	GloveModel	glove.6B.300d.txt	0	Mon Jun  8 06:59:58 2015
0.73706685678	0.740327658192	0.737104825291	0.4	3	TopKLayerHierarchicalFeatureExtractor	15	GloveModel	glove.6B.300d.txt	0	Mon Jun  8 04:18:57 2015
0.737217684584	0.740674758968	0.737659456461	0.4	4	TopKLayerHierarchicalFeatureExtractor	15	GloveModel	glove.6B.300d.txt	0	Mon Jun  8 05:34:12 2015
0.737840206926	0.742682181838	0.738214087632	0.6	4	TopKLayerHierarchicalFeatureExtractor	15	GloveModel	glove.6B.300d.txt	0	Mon Jun  8 05:34:17 2015
0.738588658702	0.741902171116	0.738768718802	0.4	5	TopKLayerHierarchicalFeatureExtractor	15	GloveModel	glove.6B.300d.txt	0	Mon Jun  8 07:00:14 2015
0.738790673445	0.743110694955	0.739877981143	0.6	6	TopKLayerHierarchicalFeatureExtractor	15	GloveModel	glove.6B.300d.txt	0	Mon Jun  8 08:31:24 2015
0.73884389678	0.743871353838	0.739877981143	0.9	4	TopKLayerHierarchicalFeatureExtractor	15	GloveModel	glove.6B.300d.txt	0	Mon Jun  8 05:34:32 2015
0.73995426118	0.744575493711	0.741541874653	0.95	4	TopKLayerHierarchicalFeatureExtractor	15	GloveModel	glove.6B.300d.txt	0	Mon Jun  8 05:33:56 2015
0.739971538335	0.74417699505	0.741541874653	0.9	6	TopKLayerHierarchicalFeatureExtractor	15	GloveModel	glove.6B.300d.txt	0	Mon Jun  8 08:37:53 2015
0.740563586909	0.745997313576	0.742096505824	0.8	6	TopKLayerHierarchicalFeatureExtractor	15	GloveModel	glove.6B.300d.txt	0	Mon Jun  8 08:04:38 2015
0.74071794524	0.74584284112	0.742096505824	0.9	5	TopKLayerHierarchicalFeatureExtractor	15	GloveModel	glove.6B.300d.txt	0	Mon Jun  8 06:59:14 2015
0.74454864911	0.74946188851	0.745978924016	0.8	5	TopKLayerHierarchicalFeatureExtractor	15	GloveModel	glove.6B.300d.txt	0	Mon Jun  8 06:45:07 2015
